"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"reset505","5ef329d8cfbdc00379011819",0.001,0.999,0.628265617586293,0.305530862649784,0.999973010123562,0.0701830385087157,-28.3150109856808,-28.5009784115066,5
"reset506","5ef360348e5e520a532e67c8",0.001,0.999,0.369773845332514,0.484392075061585,0.999999762422085,0.0852449559782616,-24.2368671055675,-23.967983341128,6
"reset507","5ef4ba6145dfc00b3f7224a6",0.001,0.999,0.557342465475178,0.506072379829956,0.999999002572389,0.318493587534804,-49.5973219031994,-48.9697337920645,0
"reset508","5ef52a87f04c781600ae4114",0.001,0.999,0.49750227753274,0.499525608579306,0.4983266300437,0.435634105098421,-50.1394314355529,-50.4042640612578,11
"reset509","5ef5cef8548fce031f1ceca4",0.001,0.999,0.50015067087696,0.499762234544404,0.500215314432332,0.244124831480119,-34.6842537160851,-35.4898721776491,0
"reset510","5ef5d41822b3c903597a9309",0.001,0.999,0.402387429110121,0.569355107838496,0.999992458393455,0.790524564684746,-69.1718683161783,-66.4842400019783,2
"reset511","5ef71356f4d5414121333bac",0.001,0.999,0.501842304608249,0.500537018615283,0.514998555056742,0.316466396213507,-41.1831680408831,-41.8055009621079,1
"reset512","5ef722c333956242acf17935",0.001,0.999,0.882490958161843,0.0186233615318567,0.999932163523412,0.382319965062497,-64.8605851356008,-63.7317421430205,9
"reset513","5ef7ad0882b7740c33fe20cc",0.001,0.999,0.577125708797457,0.499209796975298,0.999999628099927,0.187683788174055,-38.5764269834413,-38.1650822897013,0
"reset514","5ef8eeb63f6343097030fd37",0.001,0.999,0.50086466406275,0.499275716527118,0.518869855510424,0.3165629772375,-41.183234080919,-41.8052550265754,15
"reset515","5ef91678cd20bc6a46a34d6e",0.001,0.999,0.494935504695083,0.504909578487974,0.999995706441426,0.723832745525804,-67.5503260153551,-65.3496481171604,22
"reset516","5ef92a8979cf2c6b9ca11f99",0.001,0.999,0.296385261206441,0.510661163766715,0.999999465610525,0.456409195458913,-59.5010079452128,-58.3712061158786,0
"reset517","5ef9ae64e14ff874891401b6",0.001,0.999,0.56962167769234,0.499375121694052,0.999994599480414,0.615030290321623,-65.3126494709396,-63.7725490667784,1
"reset518","5ef9be1c61ecb401ef5be7b4",0.001,0.999,0.307194508403891,1.16114209301105e-06,0.999996431329323,0.225817617700828,-37.7171131192591,-34.3637454250612,22
"reset519","5ef9eeaccb96bd7aee3120ec",0.001,0.999,0.329842597275188,0.255825214275608,0.999953528646543,0.483028310874623,-59.3529437280555,-58.512437287587,0
"reset520","5efa02a5f512b17ea54f360a",0.001,0.999,0.544892833373713,0.806245084265996,0.999978596464957,0.678598346615146,-66.3840966551668,-64.5182864706355,0
"reset521","5efa2a8948fdb90f5ba612c7",0.001,0.999,0.467960425018824,0.443001364206674,0.999997428051828,0.00156640747060216,-16.875569677542,-16.8193136005019,2
"reset522","5efae8f0156229941fcf363e",0.001,0.999,0.00116640412364244,1.30238841755805e-06,0.999999772257167,0.225923583505792,-51.7796186937292,-47.6587619694197,2
"reset523","5efb14b20602b4024585eec6",0.001,0.999,0.499448555156666,0.499434189296678,0.500218608909606,0.455096391368506,-51.192950832074,-51.3915391057791,0
"reset524","5efb934059dba21145bee143",0.001,0.999,0.544884310021148,0.38973835257651,0.999994555744496,0.619179321309086,-64.8703009150156,-63.2988989683379,0
"reset525","5efc9f18c573ed060f50cd68",0.001,0.999,0.669504036876993,1.95575180670515e-07,0.999998750863731,0.280498204540051,-46.6814829424304,-42.6497356207409,0
"reset526","5efcbb97df2a840990b0da94",0.001,0.999,0.833338808069833,0.411417738965604,0.999961063206851,0.190735343684874,-37.4025081635135,-37.3853886573349,7
